Stop Name,Latitude,Longitude
EDSA Carousel Bus Stop - Roosevelt,14.6576534,121.0196721
EDSA Carousel Bus Stop - Ayala,14.5496608,121.0290013
EDSA Carousel Bus Stop - Ayala,14.5498151,121.0284383
Edsa Bus Carousel - Ortigas,14.5870873,121.0564329
EDSA Carousel Bus Stop - Monumento - Caloocan City NCR,14.6572105,120.9862466
EDSA Carousel Bus Stop - Bagong Barrio - Caloocan City NCR,14.6573792,120.9980953
EDSA Carousel Bus Stop - Main Avenue - Quezon City NCR,14.6142139,121.0535531
EDSA Carousel Bus Stop - Balintawak,14.657456,121.0048318
EDSA Carousel Bus Stop - Guadalupe,14.5681875,121.0459037
Starmall EDSA-Shaw,14.582052,121.053715
EDSA Carousel Bus Stop - Quezon Ave. - Quezon City NCR,14.6414837,121.0392338
EDSA Carousel Bus Stop - Santolan,14.6092076,121.0558262
EDSA Carousel Bus Stop - Roxas Boulevard,14.5370603,120.9921902
EDSA Carousel Bus Stop - Ayala,14.5486545,121.0272122
EDSA Carousel Bus Stop - Taft Ave.,14.5376127,120.9996611
Edsa Bus Carousel Nepa Q-Mart,14.6290493,121.0467165
EDSA Carousel Bus Stop - SM Mall Of Asia,14.5354442,120.9833527
EDSA Carousel Bus Stop - PhilAm - Quezon City NCR,14.6476551,121.0352329
EDSA Carousel Bus Stop - Tramo,14.5379101,121.0033984
EDSA Carousel Bus Stop - Guadalupe,14.5684352,121.0460641
