stop_id,reachable_targets_15min,reachable_targets_30min,reachable_targets_45min,reachable_targets_60min,stop_name_x,stop_lat_x,stop_lon_x,stop_name_y,stop_lat_y,stop_lon_y
LTFRB_3981,0,0,0,0,"Santa Maria San Jose Rd, Santa Maria, Manila",14.8268,120.993,"Santa Maria San Jose Rd, Santa Maria, Manila",14.8268,120.993
LTFRB_4471,0,0,0,0,"Ortigas Ave Extension, Antipolo City, Manila",14.5869,121.168,"Ortigas Ave Extension, Antipolo City, Manila",14.5869,121.168
LTFRB_447,0,0,0,0,"Solidtrust Pawnshop, Un-named Road, City of San Jose del Monte",14.8109,121.06,"Solidtrust Pawnshop, Un-named Road, City of San Jose del Monte",14.8109,121.06
LTFRB_446,0,0,0,0,"First City Providential College, Un-named Road, City of San Jose del Monte",14.8105,121.062,"First City Providential College, Un-named Road, City of San Jose del Monte",14.8105,121.062
LTFRB_4458,0,0,0,0,"West Service Rd, Muntilupa City, Manila",14.4228,121.043,"West Service Rd, Muntilupa City, Manila",14.4228,121.043
LTFRB_4457,0,0,0,0,"Unnamed Road, Muntilupa City, Manila",14.4249,121.041,"Unnamed Road, Muntilupa City, Manila",14.4249,121.041
LTFRB_445,0,0,0,0,"Village Montessori School, Un named Road, City of San Jose del Monte",14.8107,121.064,"Village Montessori School, Un named Road, City of San Jose del Monte",14.8107,121.064
LTFRB_444,0,0,0,0,"Un-named Road, City of San Jose del Monte",14.8096,121.066,"Un-named Road, City of San Jose del Monte",14.8096,121.066
LTFRB_443,0,0,0,0,"Un-named Road, City of San Jose del Monte",14.8078,121.067,"Un-named Road, City of San Jose del Monte",14.8078,121.067
LTFRB_442,0,0,0,0,"Francisco Homes Subdivision, Quirino Highway, City of San Jose del Monte",14.8067,121.068,"Francisco Homes Subdivision, Quirino Highway, City of San Jose del Monte",14.8067,121.068
LTFRB_441,0,0,0,0,"Quirino Highway, City of San Jose del Monte",14.8083,121.069,"Quirino Highway, City of San Jose del Monte",14.8083,121.069
LTFRB_440,0,0,0,0,"Quirino Highway, City of San Jose del Monte",14.8097,121.07,"Quirino Highway, City of San Jose del Monte",14.8097,121.07
LTFRB_44,0,0,0,0,"Meycauayan College, MacArthur Highway, City of Meycauayan",14.7338,120.961,"Meycauayan College, MacArthur Highway, City of Meycauayan",14.7338,120.961
LTFRB_4394,0,0,0,0,"Unnamed Road / Olympic Ave, Caloocan City, Manila",14.7763,121.028,"Unnamed Road / Olympic Ave, Caloocan City, Manila",14.7763,121.028
LTFRB_4393,0,0,0,0,"Olympic Ave, Caloocan City, Manila",14.7764,121.027,"Olympic Ave, Caloocan City, Manila",14.7764,121.027
LTFRB_4392,0,0,0,0,"St Francis Ave / Olympic Ave, Caloocan City, Manila",14.7763,121.03,"St Francis Ave / Olympic Ave, Caloocan City, Manila",14.7763,121.03
LTFRB_4391,0,0,0,0,"St Francis Ave, Caloocan City, Manila",14.7746,121.03,"St Francis Ave, Caloocan City, Manila",14.7746,121.03
LTFRB_4390,0,0,0,0,"St Francis Ave / 1st, Caloocan City, Manila",14.7723,121.03,"St Francis Ave / 1st, Caloocan City, Manila",14.7723,121.03
LTFRB_439,0,0,0,0,"Quirino Highway, City of San Jose del Monte",14.8116,121.071,"Quirino Highway, City of San Jose del Monte",14.8116,121.071
LTFRB_4389,0,0,0,0,"Paraiso St / Jasmin, Caloocan City, Manila",14.7697,121.03,"Paraiso St / Jasmin, Caloocan City, Manila",14.7697,121.03
